1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
CMD,GMHI,,,,,,GMWI2,,,,,,MIJAM(6182),,,,,,MIJAM(4323),,,,,,MIJAM(6182)10-fold,,,,,,MIJAM(75 features),,,,,,MIJAM(6182),,MIJAM(4323),,MIJAM(6182)10-fold,
,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,,,,,,
TO,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,V1,V2,V1,V2,V1,V2
6,62.08,92.59,31.56,65.55,94.39,36.71,85.85,84.46,87.25,85.67,87.44,83.9,86.24,92.67,79.8,83.52,89.27,77.78,86.63,86.24,87.01,84.53,83.56,85.51,85.36,91.89,78.83,84.14,90.98,77.29,82,90.27,73.74,81.11,88.78,73.43,4.5058,2.4051,4.3989,2.4716,4.4853,2.5996
7,62.08,92.92,31.24,61.68,91.48,31.88,81.48,80.53,82.42,81.33,82.13,80.54,85.29,92.13,78.46,83.78,90.27,77.29,86.13,85.79,86.47,82.56,80.09,85.02,85.52,92.1,78.94,84.99,90.75,79.23,82.16,90.1,74.22,80.64,88.81,72.46,4.456,2.5009,4.5468,2.3354,4.4914,2.7204
8,62.85,91.35,34.35,60.36,92.21,28.5,86.08,84.86,87.3,84.23,86.47,82,84.82,92,77.65,83.05,89.29,76.81,85.98,85.6,86.37,84.27,84,84.54,85.52,92.05,78.99,85.23,90.27,80.19,81.36,89.89,72.83,81.49,90.02,72.95,4.2705,2.6074,4.3623,2.4813,4.3799,2.6776
9,62.15,93.1,31.19,59.27,92.46,26.09,86.32,84.91,87.73,81.7,81.16,82.24,84.95,92.24,77.65,81.97,90.02,73.91,86.3,85.8,86.8,78.08,76.44,79.71,85.58,92.27,78.89,82.7,90.51,74.88,81.87,90.27,73.47,77.38,89.05,65.7,4.4107,2.4757,4.4915,2.4486,4.4192,2.6365
10,62.76,91.1,34.42,63.16,90.27,36.06,88.44,87.18,89.71,82.07,82.09,82.05,84.86,91.97,77.75,82.03,90.51,73.56,85.85,85.5,86.21,80.22,83.63,76.81,85.62,92.21,79.03,83.84,91.73,75.96,81.58,89.7,73.46,80.71,90.27,71.15,4.387,2.6096,4.4829,2.3121,4.388,2.7807
Average,62.25,92.63,31.87,62.02,92.65,31.4,84.07,83.24,84.9,81.83,81.85,81.8,85.6,92.38,78.82,82.15,89.87,74.43,86.18,85.73,86.62,82.11,81.72,82.51,85.68,92.15,79.21,83.62,90.97,76.27,81.92,90.13,73.7,80.04,89.12,70.96,4.43,2.51,4.45,2.4,4.47,2.67
GMHI dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMHI,,,,,,GMWI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRAIN,,,TEST,,,TRAIN,,,TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,69.66,73.13,66.18,72.95,75.64,70.27,74.78,74.59,74.97,77.41,80.63,74.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,70.48,72.81,68.16,71.47,70.55,72.4,74.9,74.87,74.94,75.28,76.02,74.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,70.92,70.42,70.67,70.74,69.09,72.4,75.05,74.71,75.39,74.42,76.47,72.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,70.79,71.92,69.66,65.54,69.09,61.99,75.05,74.67,75.44,72.2,72.4,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,70.97,71.23,70.7,69.82,66.67,72.97,75.68,75.22,76.13,70.64,70.27,71.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,70.49,71.67,69.31,72.93,77.54,68.33,74.4,74.01,74.79,76.46,74.66,78.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,70.42,75.15,65.7,70.49,78.55,62.44,74.77,74.55,74.99,74.93,72.4,77.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,70.54,72.11,68.96,70.26,69.93,70.59,75.31,74.74,75.89,71.98,67.87,76.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,70.61,71.8,69.41,68.44,69.45,67.42,74.75,74.47,75.03,74.01,76.02,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,70.69,70.66,70.72,70.71,71.74,69.68,75.04,74.7,75.4,74.6,74.66,74.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,70.56,72.09,68.95,70.34,71.83,68.85,74.97,74.65,75.3,74.19,74.14,74.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64.15472887,58.20895522,70.10050251,66.93693694,60,73.87387387,68.89,73.82,63.97,69.07,63.96,74.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,64.00582573,57.84590561,70.16574586,62.38502674,54.18181818,70.58823529,74.12,77.36,70.86,72.66,67.87,77.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,63.86542993,57.96692215,69.76393772,65.29823118,61.81818182,68.77828054,73.64,77.37,69.91,73.16,69.23,77.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
