All features,,,,,,,,,,,,,,,,,,
study,disease,Disease Sample Size,healthy sample size,results,module,module_size,auroc,mean_shuffled_auroc,sd_shuffled_auroc,inter_view_corr,mean_shuffled_inter_view_corr,T,P,Z_Score_AUC,Empirical_P_value,FDR_Adjusted_P,AUC_vs_Random_Improvement,Corr_vs_Random_Diff
YuJ_2015,CRC,45,38,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,4,0.783661322,0.678246324,0.018752479,0.20339914,0.094956983,2,2,5.621390004,9.47E-09,9.47E-08,0.155422881,0.108442157
YuJ_2015,CRC,45,38,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,4,0.711665857,0.678721537,0.02263328,0.60146149,0.098155963,3,1,1.455569851,0.072755784,0.155905251,0.048538787,0.503305527
YuJ_2015,CRC,45,38,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,4,0.656397797,0.679284197,0.024523062,0.893825253,0.085685684,3,1,-0.933260292,0.824657204,0.88356129,-0.033691936,0.808139569
ZhuF_2020,schizofrenia,79,79,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,8,0.63349525,0.626448598,0.017412482,0.441042263,0.096017552,5,3,0.404689693,0.34285281,0.60503437,0.011248572,0.345024711
ZhuF_2020,schizofrenia,79,79,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,15,0.704626924,0.628217888,0.015803399,0.408441811,0.099561798,8,7,4.834974805,6.66E-07,4.99E-06,0.12162824,0.308880013
ZhuF_2020,schizofrenia,79,79,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,7,0.658884043,0.624334188,0.017983677,0.359770331,0.092305961,3,4,1.921178578,0.027354599,0.068386497,0.05533872,0.26746437
346 features,,,,,,,,,,,,,,,,,,
GuptaA_2019,CRC,30,30,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,6,0.691,0.775521044,0.057135006,0.785855879,0.134920614,4,2,-1.479321521,0.930472798,0.930472798,-0.108986139,0.650935265
GuptaA_2019,CRC,30,30,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,8,0.947944444,0.774938552,0.051225583,0.39221733,0.148783904,4,4,3.377333783,0.000365961,0.001189373,0.22325111,0.243433426
GuptaA_2019,CRC,30,30,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,4,0.7595,0.769945847,0.051577518,0.523868534,0.130958037,3,1,-0.202527136,0.580247677,0.655932156,-0.013566989,0.392910497
