CMD-MIJAM,CMD-MIJAM-frequency,CMD-GMWI2,CMD-GMWI2-frequency,GMHI-MIJAM,GMHI-MIJAM-frequency,GMHI-GMWI2,GMHI-GMWI2-frequency
P124-PWY: Bifidobacterium shunt,10,s__Bifidobacterium_dentium,8,"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",10,s__Bacteroidales_bacterium_ph8,10
P161-PWY: acetylene degradation,10,s__Eubacterium_sp_CAG_180,8,P162-PWY: L-glutamate degradation V (via hydroxyglutarate),10,s__Bifidobacterium_catenulatum,10
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),10,s__Bifidobacterium_bifidum,8,P163-PWY: L-lysine fermentation to acetate and butanoate,10,PWY-5941: glycogen degradation II (eukaryotic),10
P163-PWY: L-lysine fermentation to acetate and butanoate,10,s__Bacteroides_ovatus,8,P164-PWY: purine nucleobases degradation I (anaerobic),10,"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",10
P164-PWY: purine nucleobases degradation I (anaerobic),10,s__Clostridium_lavalense,8,P23-PWY: reductive TCA cycle I,10,PWY490-3: nitrate reduction VI (assimilatory),10
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),10,s__Holdemania_filiformis,8,P261-PWY: coenzyme M biosynthesis I,10,s__Alistipes_finegoldii,10
P221-PWY: octane oxidation,10,s__Clostridium_sp_CAG_58,8,P562-PWY: myo-inositol degradation I,10,s__Alistipes_indistinctus,10
P23-PWY: reductive TCA cycle I,10,s__Dialister_invisus,8,POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,10,s__Alistipes_senegalensis,10
P441-PWY: superpathway of N-acetylneuraminate degradation,10,s__Bacteroides_coprocola,8,POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),10,s__Alistipes_shahii,10
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",10,s__Prevotella_sp_885,8,PPGPPMET-PWY: ppGpp biosynthesis,10,s__Prevotella_copri,10
P621-PWY: nylon-6 oligomer degradation,10,s__Eisenbergiella_massiliensis,8,PWY-2723: trehalose degradation V,10,s__Bifidobacterium_adolescentis,10
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),10,s__Actinomyces_odontolyticus,8,PWY-4984: urea cycle,10,s__Bifidobacterium_angulatum,10
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),10,s__Gemella_morbillorum,8,PWY-5088: L-glutamate degradation VIII (to propanoate),10,s__Subdoligranulum_variabile,10
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",10,s__Streptococcus_oralis,8,PWY-5130: 2-oxobutanoate degradation I,10,s__Bifidobacterium_longum,10
PWY-101: photosynthesis light reactions,10,s__Lactobacillus_fermentum,8,PWY-5136: fatty acid &beta;-oxidation II (peroxisome),10,s__Eubacterium_eligens,10
PWY-1541: superpathway of taurine degradation,10,s__Dialister_pneumosintes,8,PWY-5180: toluene degradation I (aerobic) (via o-cresol),10,s__Parasutterella_excrementihominis,10
PWY-1861: formaldehyde assimilation II (RuMP Cycle),10,s__Collinsella_massiliensis,8,PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol),10,s__Clostridium_bartlettii,10
PWY-3781: aerobic respiration I (cytochrome c),10,"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",8,PWY-5188: tetrapyrrole biosynthesis I (from glutamate),10,s__Lachnospiraceae_bacterium_8_1_57FAA,10
PWY-4041: &gamma;-glutamyl cycle,10,PWY-6595: superpathway of guanosine nucleotides degradation (plants),8,PWY-5265: peptidoglycan biosynthesis II (staphylococci),10,s__Oxalobacter_formigenes,10
PWY-5004: superpathway of L-citrulline metabolism,10,METHGLYUT-PWY: superpathway of methylglyoxal degradation,8,PWY-5367: petroselinate biosynthesis,10,PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),9
PWY-5005: biotin biosynthesis II,10,"PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",8,PWY-5384: sucrose degradation IV (sucrose phosphorylase),10,P162-PWY: L-glutamate degradation V (via hydroxyglutarate),9
PWY-5022: 4-aminobutanoate degradation V,10,PWY-7196: superpathway of pyrimidine ribonucleosides salvage,8,PWY-5505: L-glutamate and L-glutamine biosynthesis,10,s__Streptococcus_mitis_oralis_pneumoniae,9
PWY-5030: L-histidine degradation III,10,PWY490-3: nitrate reduction VI (assimilatory),8,PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,10,s__Streptococcus_thermophilus,9
PWY-5083: NAD/NADH phosphorylation and dephosphorylation,10,TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,8,PWY-5675: nitrate reduction V (assimilatory),10,s__Eubacterium_cylindroides,8
PWY-5088: L-glutamate degradation VIII (to propanoate),10,ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,8,PWY-5676: acetyl-CoA fermentation to butanoate II,10,s__Bacteroides_clarus,8
PWY-5101: L-isoleucine biosynthesis II,10,s__Firmicutes_bacterium_CAG_95,8,PWY-5705: allantoin degradation to glyoxylate III,10,s__Haemophilus_parainfluenzae,8
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",10,s__Eubacterium_sp_CAG_38,8,PWY-5723: Rubisco shunt,10,s__Veillonella_parvula,8
PWY-5173: superpathway of acetyl-CoA biosynthesis,10,s__Ruminococcus_lactaris,8,PWY-5897: superpathway of menaquinol-11 biosynthesis,10,s__Streptococcus_parasanguinis,8
PWY-5177: glutaryl-CoA degradation,10,s__Bilophila_wadsworthia,8,PWY-5898: superpathway of menaquinol-12 biosynthesis,10,s__Enterobacter_cloacae,8
PWY-5178: toluene degradation IV (aerobic) (via catechol),10,s__Streptococcus_salivarius,8,PWY-5899: superpathway of menaquinol-13 biosynthesis,10,P163-PWY: L-lysine fermentation to acetate and butanoate,8
PWY-5181: toluene degradation III (aerobic) (via p-cresol),10,s__Firmicutes_bacterium_CAG_83,8,PWY-5913: TCA cycle VI (obligate autotrophs),10,PWY-7209: superpathway of pyrimidine ribonucleosides degradation,7
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),10,s__Holdemanella_biformis,8,PWY-5941: glycogen degradation II (eukaryotic),10,s__Bacteroides_finegoldii,7
PWY-5189: tetrapyrrole biosynthesis II (from glycine),10,s__Odoribacter_splanchnicus,8,PWY-6113: superpathway of mycolate biosynthesis,10,s__Bacteroides_caccae,7
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),10,s__Sellimonas_intestinalis,8,PWY-6143: CMP-pseudaminate biosynthesis,10,s__Bilophila_wadsworthia,7
PWY-5384: sucrose degradation IV (sucrose phosphorylase),10,s__Butyricimonas_synergistica,8,PWY-6167: flavin biosynthesis II (archaea),10,s__Phascolarctobacterium_succinatutens,7
PWY-5415: catechol degradation I (meta-cleavage pathway),10,s__Turicibacter_sanguinis,8,PWY-622: starch biosynthesis,10,s__Eubacterium_rectale,7
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",10,s__Lactobacillus_ruminis,8,PWY-6263: superpathway of menaquinol-8 biosynthesis II,10,s__Dialister_invisus,7
PWY-5656: mannosylglycerate biosynthesis I,10,s__Roseburia_sp_CAG_309,8,PWY-6270: isoprene biosynthesis I,10,s__Bacteroides_eggerthii,7
PWY-5675: nitrate reduction V (assimilatory),10,s__Roseburia_sp_CAG_182,8,PWY-6415: L-ascorbate biosynthesis V,10,s__Clostridium_celatum,6
PWY-5676: acetyl-CoA fermentation to butanoate II,10,s__Asaccharobacter_celatus,8,PWY-6435: 4-hydroxybenzoate biosynthesis V,10,s__Coprococcus_comes,6
PWY-5705: allantoin degradation to glyoxylate III,10,PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),8,PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,10,PWY-5022: 4-aminobutanoate degradation V,6
PWY-5723: Rubisco shunt,10,PROPFERM-PWY: L-alanine fermentation to propanoate and acetate,8,PWY-6549: L-glutamine biosynthesis III,10,POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),6
PWY-5863: superpathway of phylloquinol biosynthesis,10,PWY-3781: aerobic respiration I (cytochrome c),8,PWY-6595: superpathway of guanosine nucleotides degradation (plants),10,P124-PWY: Bifidobacterium shunt,6
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),10,s__Escherichia_coli,8,PWY-6630: superpathway of L-tyrosine biosynthesis,10,s__Varibaculum_cambriense,6
PWY-5918: superpathay of heme biosynthesis from glutamate,10,"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",8,PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,10,s__Prevotella_timonensis,6
PWY-5920: superpathway of heme biosynthesis from glycine,10,s__Bacteroides_uniformis,7,PWY-6785: hydrogen production VIII,10,s__Peptoniphilus_lacrimalis,6
PWY-5941: glycogen degradation II (eukaryotic),10,s__Lawsonibacter_asaccharolyticus,7,PWY-6803: phosphatidylcholine acyl editing,10,s__Butyricimonas_synergistica,6
PWY-5994: palmitate biosynthesis I (animals and fungi),10,s__Flavonifractor_plautii,7,PWY-6823: molybdenum cofactor biosynthesis,10,s__Lactococcus_lactis,6
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,10,PWY-5189: tetrapyrrole biosynthesis II (from glycine),7,PWY-6876: isopropanol biosynthesis,10,s__Turicibacter_sanguinis,6
PWY-6174: mevalonate pathway II (archaea),10,PWY-5918: superpathay of heme biosynthesis from glutamate,7,PWY-6892: thiazole biosynthesis I (E. coli),10,s__Lactobacillus_acidophilus,6
